No.,Attraction Name,Typical Expenditure (SGD),Typical Time Spent (hours),Family Tourist,Backpacker,Influencer,Cultural Enthusiast,Thrill Seeker,Nature Lover,Shopping Enthusiast
1,Gardens by the Bay,28,3,8,7,9,1,1,10,1
2,Marina Bay Sands SkyPark Observation Deck,26,1,9,6,9,7,6,7,7
3,Singapore Zoo,50,4,9,6,8,7,1,7,1
4,River Wonders,40,3,8,1,8,1,1,1,1
5,Bird Paradise,38,3,8,1,9,1,6,1,1
6,Universal Studios Singapore,79,6,7,1,9,1,1,1,1
7,Singapore Flyer,33,1,7,1,8,4,6,1,1
8,ArtScience Museum,30,2,6,6,8,10,1,7,1
9,National Gallery Singapore,20,2.5,6,6,7,10,1,1,1
10,Asian Civilisations Museum,12,2,6,6,6,10,1,7,1
11,National Museum of Singapore,15,2,6,6,6,10,1,7,1
12,Peranakan Museum,10,1.5,6,6,6,10,1,7,1
13,Fort Canning Park,1,1.5,9,6,4,7,4,7,1
14,Merlion Park,1,0.5,9,6,7,7,5,7,5
15,Clarke Quay,1,2,1,1,8,8,9,1,5
16,Boat Quay,1,1.5,1,1,8,8,9,1,5
17,Chinatown,1,2,7,6,6,10,9,1,5
18,Little India,1,2,7,1,6,10,9,1,5
19,Kampong Glam,1,1.5,7,1,6,10,9,1,5
20,Orchard Road,1,2,9,1,7,1,8,1,10
21,East Coast Park,1,3,9,6,5,7,8,7,1
22,Haw Par Villa,1,1.5,5,1,3,1,3,1,1
23,Southern Ridges,1,2.5,5,1,5,1,3,9,1
24,MacRitchie Reservoir,1,3,4,1,5,1,7,10,1
25,Bukit Timah Nature Reserve,1,2,5,7,5,1,5,10,1
26,Sungei Buloh Wetland Reserve,1,2.5,4,7,5,1,5,9,1
27,Singapore Botanic Gardens,1,2,8,7,5,1,7,10,5
28,Esplanade,1,2,7,1,7,1,7,1,5
29,Raffles Hotel,1,1,7,1,8,1,7,1,5
30,Thian Hock Keng Temple,1,0.5,6,6,6,10,7,1,1
31,Sri Mariamman Temple,1,0.5,6,6,6,10,7,1,1
32,Sultan Mosque,1,0.5,6,1,6,1,7,1,1
33,Kwan Im Thong Hood Cho Temple,1,0.5,6,6,5,10,7,1,1
34,Armenian Church,1,0.5,6,1,6,9,7,1,5
35,St Andrew's Cathedral,1,0.5,6,6,6,10,1,1,5
36,Buddha Tooth Relic Temple,1,1,6,6,4,10,1,1,1
37,Science Centre Singapore,12,3,4,1,1,1,1,1,1
38,Snow City,18,1.5,6,1,1,1,7,1,1
39,Adventure Cove Waterpark,38,4,7,9,1,7,7,8,1
40,S.E.A. Aquarium,41,2.5,9,6,7,7,1,7,1
41,KidZania Singapore,58,4,9,6,1,7,1,7,1
42,iFly Singapore,144,1.5,5,4,6,1,9,5,1
43,Skyline Luge Sentosa,24,1.5,7,9,5,7,9,8,1
44,Trick Eye Museum,25,1.5,6,6,4,10,1,7,1
45,Madame Tussauds Singapore,32,2,7,1,7,1,1,1,1
46,Singapore Discovery Centre,10,2,9,6,1,7,1,7,1
47,Reflections at Bukit Chandu,5,1,1,1,2,1,5,1,1
48,Battlebox,20,2,1,1,2,1,5,1,1
49,Marina Barrage,1,1,8,1,4,1,6,9,6
50,Labrador Nature Reserve,1,2,6,7,1,1,1,10,1
51,Coney Island Park,1,2,7,9,7,7,8,8,1
52,Fort Siloso,1,1,5,1,1,7,4,6,1
53,Henderson Waves,1,1,5,1,6,1,7,9,1
54,Mount Faber Park,1,1.5,5,6,1,7,5,9,1
55,Telok Blangah Hill Park,1,1.5,5,6,1,7,3,7,1
56,HortPark,1,1.5,5,6,1,7,3,8,1
57,Kent Ridge Park,1,1.5,5,6,1,7,3,8,1
58,Pasir Ris Park,1,2,5,6,1,7,4,7,1
59,West Coast Park,1,2,5,6,1,7,3,7,1
60,Changi Beach Park,1,2,5,7,1,7,2,7,1
61,Punggol Waterway Park,1,2,7,9,1,7,3,8,1
62,AJ Hackett Sentosa,79,2,5,9,6,1,10,8,1
63,Wave House Sentosa,30,2,7,9,5,7,10,8,5
64,Ice Cream Museum,30,2,9,7,9,1,2,7,7
65,Suntec City Shopping Centre,100,2,9,6,5,1,5,2,10
66,Jewel Changi,100,4,8,8,8,2,5,8,9
67,Punggol Waterway Point,70,3,8,8,8,1,5,7,8
