type,aname,scale
Family Tourist,Gardens by the Bay,10
Family Tourist,Marina Bay Sands SkyPark Observation Deck,10
Family Tourist,Singapore Flyer,1
Family Tourist,ArtScience Museum,6
Family Tourist,National Gallery Singapore,6
Family Tourist,Asian Civilisations Museum,6
Family Tourist,National Museum of Singapore,6
Family Tourist,Peranakan Museum,6
Family Tourist,Fort Canning Park,9
Family Tourist,Merlion Park,9
Family Tourist,Clarke Quay,1
Family Tourist,Orchard Road,9
Family Tourist,Esplanade,1
Family Tourist,Chinatown,1
Family Tourist,Little India,6
Family Tourist,Singapore Botanic Gardens,7
Backpacker,Gardens by the Bay,7
Backpacker,Marina Bay Sands SkyPark Observation Deck,6
Backpacker,Singapore Flyer,1
Backpacker,ArtScience Museum,6
Backpacker,National Gallery Singapore,6
Backpacker,Asian Civilisations Museum,6
Backpacker,National Museum of Singapore,6
Backpacker,Peranakan Museum,6
Backpacker,Fort Canning Park,9
Backpacker,Merlion Park,9
Backpacker,Clarke Quay,9
Backpacker,Orchard Road,9
Backpacker,Esplanade,5
Backpacker,Chinatown,9
Backpacker,Little India,9
Backpacker,Singapore Botanic Gardens,5
Business Traveler,Gardens by the Bay,1
Business Traveler,Marina Bay Sands SkyPark Observation Deck,9
Business Traveler,Singapore Flyer,1
Business Traveler,ArtScience Museum,1
Business Traveler,National Gallery Singapore,1
Business Traveler,Asian Civilisations Museum,1
Business Traveler,National Museum of Singapore,1
Business Traveler,Peranakan Museum,1
Business Traveler,Fort Canning Park,1
Business Traveler,Merlion Park,1
Business Traveler,Clarke Quay,1
Business Traveler,Orchard Road,7
Business Traveler,Esplanade,1
Business Traveler,Chinatown,1
Business Traveler,Little India,1
Business Traveler,Singapore Botanic Gardens,1
Cultural Enthusiast,Gardens by the Bay,1
Cultural Enthusiast,Marina Bay Sands SkyPark Observation Deck,7
Cultural Enthusiast,Singapore Flyer,1
Cultural Enthusiast,ArtScience Museum,10
Cultural Enthusiast,National Gallery Singapore,10
Cultural Enthusiast,Asian Civilisations Museum,10
Cultural Enthusiast,National Museum of Singapore,10
Cultural Enthusiast,Peranakan Museum,10
Cultural Enthusiast,Fort Canning Park,7
Cultural Enthusiast,Merlion Park,7
Cultural Enthusiast,Clarke Quay,1
Cultural Enthusiast,Orchard Road,1
Cultural Enthusiast,Esplanade,1
Cultural Enthusiast,Chinatown,10
Cultural Enthusiast,Little India,10
Cultural Enthusiast,Singapore Botanic Gardens,1
Foodie,Gardens by the Bay,1
Foodie,Marina Bay Sands SkyPark Observation Deck,1
Foodie,Singapore Flyer,1
Foodie,ArtScience Museum,1
Foodie,National Gallery Singapore,1
Foodie,Asian Civilisations Museum,1
Foodie,National Museum of Singapore,1
Foodie,Peranakan Museum,1
Foodie,Fort Canning Park,1
Foodie,Merlion Park,1
Foodie,Clarke Quay,1
Foodie,Orchard Road,1
Foodie,Esplanade,1
Foodie,Chinatown,8
Foodie,Little India,8
Foodie,Singapore Botanic Gardens,6
Nature Lover,Gardens by the Bay,10
Nature Lover,Marina Bay Sands SkyPark Observation Deck,7
Nature Lover,Singapore Flyer,1
Nature Lover,ArtScience Museum,7
Nature Lover,National Gallery Singapore,1
Nature Lover,Asian Civilisations Museum,7
Nature Lover,National Museum of Singapore,7
Nature Lover,Peranakan Museum,7
Nature Lover,Fort Canning Park,10
Nature Lover,Merlion Park,7
Nature Lover,Clarke Quay,1
Nature Lover,Orchard Road,1
Nature Lover,Esplanade,1
Nature Lover,Chinatown,1
Nature Lover,Little India,1
Nature Lover,Singapore Botanic Gardens,10
Shopping Enthusiast,Gardens by the Bay,7
Shopping Enthusiast,Marina Bay Sands SkyPark Observation Deck,7
Shopping Enthusiast,Singapore Flyer,4
Shopping Enthusiast,ArtScience Museum,1
Shopping Enthusiast,National Gallery Singapore,1
Shopping Enthusiast,Asian Civilisations Museum,1
Shopping Enthusiast,National Museum of Singapore,1
Shopping Enthusiast,Peranakan Museum,1
Shopping Enthusiast,Fort Canning Park,1
Shopping Enthusiast,Merlion Park,1
Shopping Enthusiast,Clarke Quay,6
Shopping Enthusiast,Orchard Road,10
Shopping Enthusiast,Esplanade,7
Shopping Enthusiast,Chinatown,10
Shopping Enthusiast,Little India,10
Shopping Enthusiast,Singapore Botanic Gardens,1
