ID,Lower_Distance,Upper_Distance,Basic_Fare,Express_Fare
1,0,3.2,1.19,1.79
2,3.3,4.2,1.29,1.89
3,4.3,5.2,1.4,2
4,5.3,6.2,1.5,2.1
5,6.3,7.2,1.59,2.19
6,7.3,8.2,1.66,2.26
7,8.3,9.2,1.73,2.33
8,9.3,10.2,1.77,2.37
9,10.3,11.2,1.81,2.41
10,11.3,12.2,1.85,2.45
11,12.3,13.2,1.89,2.49
12,13.3,14.2,1.93,2.53
13,14.3,15.2,1.98,2.58
14,15.3,16.2,2.02,2.62
15,16.3,17.2,2.06,2.66
16,17.3,18.2,2.1,2.7
17,18.3,19.2,2.14,2.74
18,19.3,20.2,2.17,2.77
19,20.3,21.2,2.2,2.8
20,21.3,22.2,2.23,2.83
21,22.3,23.2,2.26,2.86
22,23.3,24.2,2.28,2.88
23,24.3,25.2,2.3,2.9
24,25.3,26.2,2.32,2.92
25,26.3,27.2,2.33,2.93
26,27.3,28.2,2.34,2.94
27,28.3,29.2,2.35,2.95
28,29.3,30.2,2.36,2.96
29,30.3,31.2,2.37,2.97
30,31.3,32.2,2.38,2.98
31,32.3,33.2,2.39,2.99
32,33.3,34.2,2.4,3
33,34.3,35.2,2.41,3.01
34,35.3,36.2,2.42,3.02
35,36.3,37.2,2.43,3.03
36,37.3,38.2,2.44,3.04
37,38.3,39.2,2.45,3.05
38,39.3,40.2,2.46,3.06
39,40.3,9999,2.47,3.07
